pH,R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4
0.0,175,116,79,190,137,43,148,189,177,193,157,36
0.5,185,122,62,191,139,43,141,182,169,193,154,38
1.0,195,130,53,195,139,42,146,180,152,194,156,35
1.5,185,131,27,197,138,38,145,178,155,185,147,19
2.0,184,137,28,187,135,32,142,176,146,186,145,26
2.5,174,134,25,187,139,26,135,172,143,189,143,26
3.0,160,129,43,188,136,29,134,167,136,173,134,22
3.5,141,122,59,184,130,29,129,164,135,185,144,23
4.0,118,112,82,177,126,22,120,155,121,172,129,12
4.5,87,96,88,153,130,7,122,156,120,175,132,17
5.0,105,126,122,191,175,39,157,197,174,205,166,46
5.5,95,112,113,172,160,42,155,197,177,208,167,45
6.0,99,117,120,152,154,48,152,191,174,208,169,52
6.5,86,102,119,139,144,41,148,189,167,204,163,39
7.0,80,93,130,117,134,59,145,186,165,207,169,54
7.5,74,83,121,104,134,72,148,189,170,200,159,44
8.0,81,87,139,67,126,116,153,189,170,202,163,48
8.5,81,87,139,68,115,120,154,192,171,198,162,43
9.0,75,83,140,48,99,114,149,187,167,201,164,52
9.5,92,98,151,60,104,134,140,166,151,193,154,38
10.0,78,81,143,37,83,125,136,153,147,208,167,42
10.5,74,76,135,37,76,119,145,125,156,202,150,55
11.0,76,80,138,41,81,124,129,91,124,195,136,55
11.5,63,66,123,35,72,116,129,65,121,191,130,62
12.0,69,73,131,40,77,122,136,65,131,188,128,66
12.5,77,79,137,33,74,118,141,71,137,169,106,52
13.0,71,78,132,33,68,114,120,56,77,171,110,71
13.5,64,65,122,35,68,113,128,65,89,156,106,102
14.0,71,75,130,46,79,120,123,60,84,155,103,106
14.5,74,79,131,40,79,118,124,66,84,141,82,87
